team_abbreviation_home,team_abbreviation_away,lambda_h,lambda_a,win_prob,projected_spread
MIA,MEM,116.07,110.37,0.6475,-5.7
MIA,ORL,109.8,107.57,0.5599,-2.2
MIA,MIL,116.17,112.84,0.5871,-3.3
MIA,LAL,110.21,109.41,0.5216,-0.8
MIA,DET,114.52,110.34,0.6099,-4.2
MIA,LAC,109.22,111.55,0.4376,2.3
MIA,HOU,110.28,111.71,0.4616,1.4
MIA,CLE,110.15,113.31,0.4164,3.2
MIA,GSW,109.67,106.29,0.591,-3.4
MIA,BOS,108.13,108.15,0.4995,0.0
MIA,DEN,112.0,109.41,0.5693,-2.6
MIA,MIN,109.81,109.41,0.5109,-0.4
MIA,NYK,111.38,109.41,0.5529,-2.0
MIA,OKC,110.01,111.5,0.4603,1.5
MIA,IND,113.25,112.35,0.524,-0.9
ORL,UTA,110.32,105.17,0.6371,-5.1
ORL,TOR,106.57,104.54,0.5557,-2.0
ORL,PHX,110.12,104.65,0.6456,-5.5
ORL,PHI,108.48,104.82,0.5988,-3.7
ORL,POR,108.41,104.72,0.5998,-3.7
ORL,SAS,109.21,104.8,0.6184,-4.4
ORL,BKN,108.48,105.05,0.5927,-3.4
ORL,DAL,108.48,104.74,0.6011,-3.7
ORL,SAC,108.06,106.18,0.5511,-1.9
ORL,ATL,108.87,107.13,0.5473,-1.7
ORL,CHA,109.63,104.03,0.6492,-5.6
ORL,WAS,109.62,104.03,0.649,-5.6
ORL,NOP,109.2,104.45,0.6275,-4.8
ORL,CHI,108.98,106.92,0.5557,-2.1
ORL,MEM,108.41,105.71,0.5733,-2.7
ORL,MIA,108.22,106.54,0.5456,-1.7
ORL,MIL,108.26,106.27,0.5539,-2.0
ORL,LAL,105.04,103.68,0.5374,-1.4
ORL,DET,108.41,105.71,0.5733,-2.7
ORL,LAC,104.99,105.44,0.4876,0.4
ORL,HOU,104.94,104.96,0.4994,0.0
ORL,CLE,104.94,106.29,0.463,1.3
ORL,GSW,104.33,102.76,0.5436,-1.6
ORL,BOS,103.77,103.52,0.5069,-0.2
ORL,DEN,106.83,103.68,0.5858,-3.1
ORL,MIN,104.3,103.68,0.5171,-0.6
ORL,NYK,106.15,103.68,0.5677,-2.5
ORL,OKC,104.85,105.23,0.4894,0.4
ORL,IND,106.61,105.91,0.5192,-0.7
MIL,UTA,118.1,109.63,0.7128,-8.5
MIL,TOR,112.93,109.67,0.5865,-3.3
MIL,PHX,118.6,108.89,0.7401,-9.7
MIL,PHI,115.87,109.09,0.6743,-6.8
MIL,POR,115.89,110.45,0.6411,-5.4
MIL,SAS,117.46,108.97,0.7137,-8.5
MIL,BKN,115.87,109.04,0.6755,-6.8
MIL,DAL,114.22,109.42,0.626,-4.8
MIL,SAC,113.2,111.96,0.5328,-1.2
MIL,ATL,118.77,113.56,0.6337,-5.2
MIL,CHA,117.91,107.15,0.7635,-10.8
MIL,WAS,118.12,107.15,0.7676,-11.0
MIL,NOP,117.67,108.89,0.72,-8.8
MIL,CHI,118.88,113.56,0.6364,-5.3
MIL,MEM,115.89,110.45,0.6411,-5.4
MIL,MIA,114.39,112.44,0.5516,-2.0
MIL,ORL,111.12,107.83,0.5878,-3.3
MIL,LAL,111.5,109.67,0.549,-1.8
MIL,DET,114.6,110.42,0.6096,-4.2
MIL,LAC,110.53,111.73,0.468,1.2
MIL,HOU,111.57,111.89,0.4914,0.3
MIL,CLE,111.44,113.49,0.4457,2.0
MIL,GSW,110.96,106.55,0.6175,-4.4
MIL,BOS,109.39,108.41,0.5265,-1.0
MIL,DEN,112.25,109.67,0.5688,-2.6
MIL,MIN,111.09,109.67,0.5382,-1.4
MIL,NYK,111.63,109.67,0.5524,-2.0
MIL,OKC,111.3,111.67,0.4901,0.4
MIL,IND,113.51,112.34,0.5308,-1.2
LAL,UTA,113.7,108.78,0.6293,-4.9
LAL,TOR,108.79,108.55,0.5065,-0.2
LAL,PHX,114.18,108.09,0.6586,-6.1
LAL,PHI,111.93,108.38,0.5945,-3.5
LAL,POR,111.96,108.95,0.5802,-3.0
LAL,SAS,113.09,108.53,0.6202,-4.6
LAL,BKN,111.93,108.49,0.5916,-3.4
LAL,DAL,111.14,108.51,0.5705,-2.6
LAL,SAC,109.92,109.92,0.4999,0.0
LAL,ATL,112.83,111.07,0.5467,-1.8
LAL,CHA,113.52,107.1,0.6671,-6.4
LAL,WAS,113.51,107.1,0.6669,-6.4
LAL,NOP,113.08,108.09,0.6314,-5.0
LAL,CHI,112.94,111.07,0.5495,-1.9
LAL,MEM,111.96,109.81,0.5572,-2.1
LAL,MIA,110.88,110.4,0.5129,-0.5
LAL,ORL,107.37,106.6,0.5211,-0.8
LAL,MIL,111.79,110.59,0.5321,-1.2
LAL,DET,111.08,109.78,0.5347,-1.3
LAL,LAC,106.8,109.14,0.4368,2.3
LAL,HOU,106.49,109.19,0.4271,2.7
LAL,CLE,106.49,110.38,0.396,3.9
